a	ə	[a:ə]
abaco	ˈæbəˌkoʊ	ˈ[a:æ].[b:b|a:ə].ˌ[c:k|o:oʊ]
abacus	ˈæbəkəs	ˈ[a:æ].[b:b|a:ə].[c:k|u:ə|s:s]
abad	əˈbɑːd	[a:ə].ˈ[b:b|a:ɑː|d:d]
abadaka	əˈbædəkə	[a:ə].ˈ[b:b|a:æ].[d:d|a:ə].[k:k|a:ə]
abadi	əˈbædiː	[a:ə].ˈ[b:b|a:æ].[d:d|i:iː]
abadie	əˈbædiː	[a:ə].ˈ[b:b|a:æ].[d:d|ie:iː]
abair	əˈber	[a:ə].ˈ[b:b|ai:e|r:r]
abalkin	əˈbɑːlkɪn	[a:ə].ˈ[b:b|a:ɑː|l:l].[k:k|i:ɪ|n:n]
abalone	ˌæbəˈloʊniː	ˌ[a:æ].[b:b|a:ə].ˈ[l:l|o:oʊ].[n:n|e:iː]
abalones	ˌæbəˈloʊniːz	ˌ[a:æ].[b:b|a:ə].ˈ[l:l|o:oʊ].[n:n|e:iː|s:z]
abalos	ɑːˈbɑːloʊz	[a:ɑː].ˈ[b:b|a:ɑː].[l:l|o:oʊ|s:z]
abandon	əˈbændən	[a:ə].ˈ[b:b|a:æ|n:n].[d:d|o:ə|n:n]
abandoned	əˈbændənd	[a:ə].ˈ[b:b|a:æ|n:n].[d:d|o:ə|n:n|ed:d]
abandoning	əˈbændənɪŋ	[a:ə].ˈ[b:b|a:æ|n:n].[d:d|o:ə].[n:n|i:ɪ|ng:ŋ]
abandonment	əˈbændənmənt	[a:ə].ˈ[b:b|a:æ|n:n].[d:d|o:ə|n:n].[m:m|e:ə|n:n|t:t]
abandonments	əˈbændənmənts	[a:ə].ˈ[b:b|a:æ|n:n].[d:d|o:ə|n:n].[m:m|e:ə|n:n|t:t|s:s]
abandons	əˈbændənz	[a:ə].ˈ[b:b|a:æ|n:n].[d:d|o:ə|n:n|s:z]
abanto	əˈbæntoʊ	[a:ə].ˈ[b:b|a:æ|n:n].[t:t|o:oʊ]
abarca	əˈbɑːrkə	[a:ə].ˈ[b:b|a:ɑː|r:r].[c:k|a:ə]
abare	ɑːˈbɑːriː	[a:ɑː].ˈ[b:b|a:ɑː].[r:r|e:iː]
abascal	ˈæbəskəl	ˈ[a:æ].[b:b|a:ə].[s:s|c:k|a:ə|l:l]
abash	əˈbæʃ	[a:ə].ˈ[b:b|a:æ|sh:ʃ]
abashed	əˈbæʃt	[a:ə].ˈ[b:b|a:æ|sh:ʃ|ed:t]
abasia	əˈbeɪʒjə	[a:ə].ˈ[b:b|a:eɪ|si:ʒ].[a:jə]
abate	əˈbeɪt	[a:ə].ˈ[b:b|a:eɪ|te:t]
abated	əˈbeɪtɪd	[a:ə].ˈ[b:b|a:eɪ].[t:t|e:ɪ|d:d]
abatement	əˈbeɪtmənt	[a:ə].ˈ[b:b|a:eɪ|te:t].[m:m|e:ə|n:n|t:t]
abatements	əˈbeɪtmənts	[a:ə].ˈ[b:b|a:eɪ|te:t].[m:m|e:ə|n:n|t:t|s:s]
abates	əˈbeɪts	[a:ə].ˈ[b:b|a:eɪ|te:t|s:s]
abating	əˈbeɪtɪŋ	[a:ə].ˈ[b:b|a:eɪ].[t:t|i:ɪ|ng:ŋ]
abattoir	ˌæbəˈtwɑːr	ˌ[a:æ].[b:b|a:ə].ˈ[tto:t|i:wɑː|r:r]
abba	ˈæbə	ˈ[a:æ].[bb:b|a:ə]
abbado	əˈbɑːdoʊ	[a:ə].ˈ[bb:b|a:ɑː].[d:d|o:oʊ]
abbas	əˈbɑːs	[a:ə].ˈ[bb:b|a:ɑː|s:s]
abbasi	ɑːˈbɑːsiː	[a:ɑː].ˈ[bb:b|a:ɑː].[s:s|i:iː]
abbate	ˈɑːbeɪt	ˈ[a:ɑː].[bb:b|a:eɪ|te:t]
abbatiello	ɑːbɑːtiːˈeloʊ	[a:ɑː].[bb:b|a:ɑː].[t:t|i:iː].ˈ[e:e].[ll:l|o:oʊ]
abbe	ˈæbiː	ˈ[a:æ].[bb:b|e:iː]
abbenhaus	ˈæbənˌhaʊs	ˈ[a:æ].[bb:b|e:ə|n:n].ˌ[h:h|au:aʊ|s:s]
abbett	əˈbet	[a:ə].ˈ[bb:b|e:e|tt:t]
abbeville	ˈæbvɪl	ˈ[a:æ|bbe:b].[v:v|i:ɪ|lle:l]
abbey	ˈæbiː	ˈ[a:æ].[bb:b|ey:iː]
abbey's	ˈæbiːz	ˈ[a:æ].[bb:b|ey:iː|'s:z]
abbie	ˈæbiː	ˈ[a:æ].[bb:b|ie:iː]
abbitt	ˈæbɪt	ˈ[a:æ].[bb:b|i:ɪ|tt:t]
abbot	ˈæbət	ˈ[a:æ].[bb:b|o:ə|t:t]
abbotstown	ˈæbətˈstaʊn	ˈ[a:æ].[bb:b|o:ə|t:t].ˈ[s:s|t:t|ow:aʊ|n:n]
abbott	ˈæbət	ˈ[a:æ].[bb:b|o:ə|tt:t]
abbott's	ˈæbəts	ˈ[a:æ].[bb:b|o:ə|tt:t|'s:s]
abbottstown	ˈæbətˈstaʊn	ˈ[a:æ].[bb:b|o:ə|tt:t].ˈ[s:s|t:t|ow:aʊ|n:n]
abboud	əˈbuːd	[a:ə].ˈ[bb:b|ou:uː|d:d]
abbreviate	əˈbriːviːˌeɪt	[a:ə].ˈ[bb:b|r:r|e:iː].[v:v|i:iː].ˌ[a:eɪ|te:t]
abbreviated	əˈbriːviːˌeɪtɪd	[a:ə].ˈ[bb:b|r:r|e:iː].[v:v|i:iː].ˌ[a:eɪ].[t:t|e:ɪ|d:d]
abbreviates	əˈbriːviːˌeɪts	[a:ə].ˈ[bb:b|r:r|e:iː].[v:v|i:iː].ˌ[a:eɪ|te:t|s:s]
abbreviating	əˈbriːviːˌeɪtɪŋ	[a:ə].ˈ[bb:b|r:r|e:iː].[v:v|i:iː].ˌ[a:eɪ].[t:t|i:ɪ|ng:ŋ]
abbreviation	əˌbriːviːˈeɪʃən	[a:ə].ˌ[bb:b|r:r|e:iː].[v:v|i:iː].ˈ[a:eɪ].[ti:ʃ|o:ə|n:n]
abbreviations	əˌbriːviːˈeɪʃənz	[a:ə].ˌ[bb:b|r:r|e:iː].[v:v|i:iː].ˈ[a:eɪ].[ti:ʃ|o:ə|n:n|s:z]
abbruzzese	ɑːbruːtˈseɪziː	[a:ɑː].[bb:b|r:r|uz:uː|z:ts].ˈ[e:eɪ].[s:z|e:iː]
abbs	ˈæbz	ˈ[a:æ|bb:b|s:z]
abby	ˈæbiː	ˈ[a:æ].[bb:b|y:iː]
abc	ˈeɪˌbiːˌsiː	ˈ[a:eɪ].ˌ[b:biː].ˌ[c:siː]
abc's	ˈeɪˌbiːˌsiːz	ˈ[a:eɪ].ˌ[b:biː].ˌ[c:siː|'s:z]
abco	ˈæbkoʊ	ˈ[a:æ|b:b].[c:k|o:oʊ]
abcotek	ˈæbkoʊˌtek	ˈ[a:æ|b:b].[c:k|o:oʊ].ˌ[t:t|e:e|k:k]
abcs	ˈeɪˌbiːˌsiːz	ˈ[a:eɪ].ˌ[b:biː].ˌ[c:siː|s:z]
abd	ˌeɪˌbiːˈdiː	ˌ[a:eɪ].ˌ[b:biː].ˈ[d:diː]
abdalla	ˌæbˈdælə	ˌ[a:æ|b:b].ˈ[d:d|a:æ].[ll:l|a:ə]
abdallah	ˌæbˈdælə	ˌ[a:æ|b:b].ˈ[d:d|a:æ].[ll:l|ah:ə]
abdel	ˈæbˌdel	ˈ[a:æ|b:b].ˌ[d:d|e:e|l:l]
abdella	ˌæbˈdelə	ˌ[a:æ|b:b].ˈ[d:d|e:e].[ll:l|a:ə]
abdicate	ˈæbdəˌkeɪt	ˈ[a:æ|b:b].[d:d|i:ə].ˌ[c:k|a:eɪ|te:t]
abdicated	ˈæbdəˌkeɪtɪd	ˈ[a:æ|b:b].[d:d|i:ə].ˌ[c:k|a:eɪ].[t:t|e:ɪ|d:d]
abdicates	ˈæbdəˌkeɪts	ˈ[a:æ|b:b].[d:d|i:ə].ˌ[c:k|a:eɪ|te:t|s:s]
abdicating	ˈæbdɪˌkeɪtɪŋ	ˈ[a:æ|b:b].[d:d|i:ɪ].ˌ[c:k|a:eɪ].[t:t|i:ɪ|ng:ŋ]
abdication	ˌæbdɪˈkeɪʃən	ˌ[a:æ|b:b].[d:d|i:ɪ].ˈ[c:k|a:eɪ].[ti:ʃ|o:ə|n:n]
abdnor	ˈæbdnər	ˈ[a:æ|b:b|d:d].[n:n|or:ər]
abdo	ˈæbdoʊ	ˈ[a:æ|b:b].[d:d|o:oʊ]
abdollah	ˌæbˈdɑːlə	ˌ[a:æ|b:b].ˈ[d:d|o:ɑː].[ll:l|ah:ə]
abdomen	æbˈdoʊmən	[a:æ|b:b].ˈ[d:d|o:oʊ].[m:m|e:ə|n:n]
abdominal	æbˈdɑːmənəl	[a:æ|b:b].ˈ[d:d|o:ɑː].[m:m|i:ə].[n:n|a:ə|l:l]
abduct	æbˈdʌkt	[a:æ|b:b].ˈ[d:d|u:ʌ|c:k|t:t]
abducted	æbˈdʌktɪd	[a:æ|b:b].ˈ[d:d|u:ʌ|c:k].[t:t|e:ɪ|d:d]
abductee	æbˌdʌkˈtiː	[a:æ|b:b].ˌ[d:d|u:ʌ|c:k].ˈ[t:t|ee:iː]
abductees	æbˌdʌkˈtiːz	[a:æ|b:b].ˌ[d:d|u:ʌ|c:k].ˈ[t:t|ee:iː|s:z]
abducting	æbˈdʌktɪŋ	[a:æ|b:b].ˈ[d:d|u:ʌ|c:k].[t:t|i:ɪ|ng:ŋ]
abduction	æbˈdʌkʃən	[a:æ|b:b].ˈ[d:d|u:ʌ|c:k].[ti:ʃ|o:ə|n:n]
abductions	æbˈdʌkʃənz	[a:æ|b:b].ˈ[d:d|u:ʌ|c:k].[ti:ʃ|o:ə|n:n|s:z]
abductor	æbˈdʌktər	[a:æ|b:b].ˈ[d:d|u:ʌ|c:k].[t:t|or:ər]
abductors	æbˈdʌktərz	[a:æ|b:b].ˈ[d:d|u:ʌ|c:k].[t:t|or:ər|s:z]
abducts	æbˈdʌkts	[a:æ|b:b].ˈ[d:d|u:ʌ|c:k|t:t|s:s]
abdul	æbˈduːl	[a:æ|b:b].ˈ[d:d|u:uː|l:l]
abdulaziz	æbˌduːləˈziːz	[a:æ|b:b].ˌ[d:d|u:uː].[l:l|a:ə].ˈ[z:z|i:iː|z:z]
abdulla	ɑːbˈduːlə	[a:ɑː|b:b].ˈ[d:d|u:uː].[ll:l|a:ə]
abdullah	ˌæbˈdʌlə	ˌ[a:æ|b:b].ˈ[d:d|u:ʌ].[ll:l|ah:ə]
abe	ˈeɪb	ˈ[a:eɪ|be:b]
abed	əˈbed	[a:ə].ˈ[b:b|e:e|d:d]
abedi	əˈbediː	[a:ə].ˈ[b:b|e:e].[d:d|i:iː]
abee	əˈbiː	[a:ə].ˈ[b:b|ee:iː]
abel	ˈeɪbəl	ˈ[a:eɪ].[b:b|e:ə|l:l]
abela	ɑːˈbelə	[a:ɑː].ˈ[b:b|e:e].[l:l|a:ə]
abelard	ˈæbɪlərd	ˈ[a:æ].[b:b|e:ɪ].[l:l|ar:ər|d:d]
abele	əˈbel	[a:ə].ˈ[b:b|e:e|le:l]
abeles	əˈbelz	[a:ə].ˈ[b:b|e:e|l:l|es:z]
abell	ˈeɪbəl	ˈ[a:eɪ].[b:b|e:ə|ll:l]
abella	əˈbelə	[a:ə].ˈ[b:b|e:e].[ll:l|a:ə]
abeln	ˈæbɪln	ˈ[a:æ].[b:b|e:ɪ|l:l|n:n]
abelow	ˈæbəloʊ	ˈ[a:æ].[b:b|e:ə].[l:l|ow:oʊ]
abels	ˈeɪbəlz	ˈ[a:eɪ].[b:b|e:ə|l:l|s:z]
abelson	ˈæbɪlsən	ˈ[a:æ].[b:b|e:ɪ|l:l].[s:s|o:ə|n:n]
abend	ˈæbend	ˈ[a:æ].[b:b|e:e|n:n|d:d]
abendroth	ˈæbɪndrɔːθ	ˈ[a:æ].[b:b|e:ɪ|n:n].[d:d|r:r|o:ɔː|th:θ]
aber	ˈeɪbər	ˈ[a:eɪ].[b:b|er:ər]
abercrombie	ˌæbərˈkrɑːmbiː	ˌ[a:æ].[b:b|er:ər].ˈ[c:k|r:r|o:ɑː|m:m].[b:b|ie:iː]
aberdeen	ˈæbərˌdiːn	ˈ[a:æ].[b:b|er:ər].ˌ[d:d|ee:iː|n:n]
aberford	ˈeɪbərfərd	ˈ[a:eɪ].[b:b|er:ər].[f:f|or:ər|d:d]
aberg	ˈæbərɡ	ˈ[a:æ].[b:b|er:ər|g:ɡ]
aberle	ˈæbərəl	ˈ[a:æ].[b:b|er:ər].[le:əl]
abermin	ˈæbərmɪn	ˈ[a:æ].[b:b|er:ər].[m:m|i:ɪ|n:n]
abernathy	ˈæbərˌnæθiː	ˈ[a:æ].[b:b|er:ər].ˌ[n:n|a:æ].[th:θ|y:iː]
abernethy	ˈæbərˌneθiː	ˈ[a:æ].[b:b|er:ər].ˌ[n:n|e:e].[th:θ|y:iː]
aberrant	æˈberənt	[a:æ].ˈ[b:b|e:e].[rr:r|a:ə|n:n|t:t]
aberration	ˌæbərˈeɪʃən	ˌ[a:æ].[b:b|er:ər].ˈ[ra:eɪ].[ti:ʃ|o:ə|n:n]
aberrational	ˌæbərˈeɪʃənəl	ˌ[a:æ].[b:b|er:ər].ˈ[ra:eɪ].[ti:ʃ|o:ə].[n:n|a:ə|l:l]
aberrations	ˌæbərˈeɪʃənz	ˌ[a:æ].[b:b|er:ər].ˈ[ra:eɪ].[ti:ʃ|o:ə|n:n|s:z]
abert	ˈæbərt	ˈ[a:æ].[b:b|er:ər|t:t]
abet	əˈbet	[a:ə].ˈ[b:b|e:e|t:t]
abetted	əˈbetɪd	[a:ə].ˈ[b:b|e:e].[tt:t|e:ɪ|d:d]
abetting	əˈbetɪŋ	[a:ə].ˈ[b:b|e:e].[tt:t|i:ɪ|ng:ŋ]
abex	ˈeɪbeks	ˈ[a:eɪ].[b:b|e:e|x:ks]
abeyance	əˈbeɪəns	[a:ə].ˈ[b:b|ey:eɪ].[a:ə|n:n|ce:s]
abeyta	ɑːˈbeɪtə	[a:ɑː].ˈ[b:b|ey:eɪ].[t:t|a:ə]
abhor	æbˈhɔːr	[a:æ|b:b].ˈ[h:h|o:ɔː|r:r]
abhorred	əbˈhɔːrd	[a:ə|b:b].ˈ[h:h|o:ɔː|rr:r|ed:d]
abhorrence	əbˈhɔːrəns	[a:ə|b:b].ˈ[h:h|o:ɔː].[rr:r|e:ə|n:n|ce:s]
abhorrent	æbˈhɔːrənt	[a:æ|b:b].ˈ[h:h|o:ɔː].[rr:r|e:ə|n:n|t:t]
abhors	əbˈhɔːrz	[a:ə|b:b].ˈ[h:h|o:ɔː|r:r|s:z]
abiam	ˈeɪbiːəm	ˈ[a:eɪ].[b:b|i:iː].[a:ə|m:m]
abiam's	ˈeɪbiːəmz	ˈ[a:eɪ].[b:b|i:iː].[a:ə|m:m|'s:z]
abid	ˈeɪbɪd	ˈ[a:eɪ].[b:b|i:ɪ|d:d]
abide	əˈbaɪd	[a:ə].ˈ[b:b|i:aɪ|de:d]
abided	əˈbaɪdɪd	[a:ə].ˈ[b:b|i:aɪ].[d:d|e:ɪ|d:d]
abides	əˈbaɪdz	[a:ə].ˈ[b:b|i:aɪ|d:d|es:z]
abiding	əˈbaɪdɪŋ	[a:ə].ˈ[b:b|i:aɪ].[d:d|i:ɪ|ng:ŋ]
abidjan	æbɪˈdʒɑːn	[a:æ].[b:b|i:ɪ].ˈ[dj:dʒ|a:ɑː|n:n]
abie	ˈæbiː	ˈ[a:æ].[b:b|ie:iː]
abigail	ˈæbəˌɡeɪl	ˈ[a:æ].[b:b|i:ə].ˌ[g:ɡ|ai:eɪ|l:l]
abila	ɑːˈbiːlə	[a:ɑː].ˈ[b:b|i:iː].[l:l|a:ə]
abilene	ˈæbɪˌliːn	ˈ[a:æ].[b:b|i:ɪ].ˌ[l:l|e:iː|ne:n]
abilities	əˈbɪləˌtiːz	[a:ə].ˈ[b:b|i:ɪ].[l:l|i:ə].ˌ[t:t|ie:iː|s:z]
ability	əˈbɪləˌtiː	[a:ə].ˈ[b:b|i:ɪ].[l:l|i:ə].ˌ[t:t|y:iː]
abimael	ˌæbɪˈmeɪl	ˌ[a:æ].[b:b|i:ɪ].ˈ[m:m|ae:eɪ|l:l]
abimaels	ˌæbɪˈmeɪlz	ˌ[a:æ].[b:b|i:ɪ].ˈ[m:m|ae:eɪ|l:l|s:z]
abingdon	ˈæbɪŋdən	ˈ[a:æ].[b:b|i:ɪ|ng:ŋ].[d:d|o:ə|n:n]
abington	ˈæbɪŋtən	ˈ[a:æ].[b:b|i:ɪ|ng:ŋ].[t:t|o:ə|n:n]
abio	ˈɑːbiːoʊ	ˈ[a:ɑː].[b:b|i:iː].[o:oʊ]
abiola	ˌɑːbiːˈoʊlə	ˌ[a:ɑː].[b:b|i:iː].ˈ[o:oʊ].[l:l|a:ə]
abiola's	ˌɑːbiːˈoʊləz	ˌ[a:ɑː].[b:b|i:iː].ˈ[o:oʊ].[l:l|a:ə|'s:z]
abiomed	eɪˈbiːəmed	[a:eɪ].ˈ[b:b|i:iː].[o:ə].[m:m|e:e|d:d]
abiquiu	əˈbɪkjuː	[a:ə].ˈ[b:b|i:ɪ].[qu:k|i:j|u:uː]
abitibi	ˌæbɪˈtiːbiː	ˌ[a:æ].[b:b|i:ɪ].ˈ[t:t|i:iː].[b:b|i:iː]
abitz	ˈæbɪts	ˈ[a:æ].[b:b|i:ɪ|t:t|z:s]
abject	ˈæbdʒekt	ˈ[a:æ|b:b].[j:dʒ|e:e|c:k|t:t]
abkhazia	æbˈkɑːzjə	[a:æ|b:b].ˈ[kh:k|a:ɑː].[z:z|i:j|a:ə]
abkhazian	æbˈkɑːziːən	[a:æ|b:b].ˈ[kh:k|a:ɑː].[z:z|i:iː].[a:ə|n:n]
abkhazians	æbˈkɑːziːənz	[a:æ|b:b].ˈ[kh:k|a:ɑː].[z:z|i:iː].[a:ə|n:n|s:z]
ablate	ˌʌˈbleɪt	ˌ[a:ʌ].ˈ[b:b|l:l|a:eɪ|te:t]
ablation	ˌʌˈbleɪʃən	ˌ[a:ʌ].ˈ[b:b|l:l|a:eɪ].[ti:ʃ|o:ə|n:n]
ablaze	əˈbleɪz	[a:ə].ˈ[b:b|l:l|a:eɪ|ze:z]
able	ˈeɪbəl	ˈ[a:eɪ].[b:b|le:əl]
able-bodied	ˈeɪbəlˈbɑːdiːd	ˈ[a:eɪ].[b:b|le:əl].ˈ[-b:b|o:ɑː].[d:d|ie:iː|d:d]
abled	ˈeɪbəld	ˈ[a:eɪ].[b:b|l:əl|ed:d]
abler	ˈeɪbələr	ˈ[a:eɪ].[b:b|l:əl].[er:ər]
ables	ˈeɪbəlz	ˈ[a:eɪ].[b:b|l:əl|es:z]
ablest	ˈeɪbəlst	ˈ[a:eɪ].[b:b|le:əl|s:s|t:t]
abloom	əˈbluːm	[a:ə].ˈ[b:b|l:l|oo:uː|m:m]
ablution	əˈbluːʃən	[a:ə].ˈ[b:b|l:l|u:uː].[ti:ʃ|o:ə|n:n]
ablutions	əˈbluːʃənz	[a:ə].ˈ[b:b|l:l|u:uː].[ti:ʃ|o:ə|n:n|s:z]
ably	ˈeɪbliː	ˈ[a:eɪ].[b:b|l:l|y:iː]
abnegation	ˌæbneˈɡeɪʃən	ˌ[a:æ|b:b].[n:n|e:e].ˈ[g:ɡ|a:eɪ].[ti:ʃ|o:ə|n:n]
abner	ˈæbnər	ˈ[a:æ|b:b].[n:n|er:ər]
abney	ˈæbniː	ˈ[a:æ|b:b].[n:n|ey:iː]
abnormal	æbˈnɔːrməl	[a:æ|b:b].ˈ[n:n|o:ɔː|r:r].[m:m|a:ə|l:l]
abnormalities	ˌæbnɔːrˈmælətiːz	ˌ[a:æ|b:b].[n:n|o:ɔː|r:r].ˈ[m:m|a:æ].[l:l|i:ə].[t:t|ie:iː|s:z]
abnormality	ˌæbnɔːrˈmælətiː	ˌ[a:æ|b:b].[n:n|o:ɔː|r:r].ˈ[m:m|a:æ].[l:l|i:ə].[t:t|y:iː]
abnormally	æbˈnɔːrməliː	[a:æ|b:b].ˈ[n:n|o:ɔː|r:r].[m:m|a:ə].[ll:l|y:iː]
abo	ˈɑːboʊ	ˈ[a:ɑː].[b:b|o:oʊ]
abo's	ˈɑːboʊz	ˈ[a:ɑː].[b:b|o:oʊ|'s:z]
aboard	əˈbɔːrd	[a:ə].ˈ[b:b|oa:ɔː|r:r|d:d]
abode	əˈboʊd	[a:ə].ˈ[b:b|o:oʊ|de:d]
abohalima	æbəhəˈliːmə	[a:æ].[b:b|o:ə].[h:h|a:ə].ˈ[l:l|i:iː].[m:m|a:ə]
abolish	əˈbɑːlɪʃ	[a:ə].ˈ[b:b|o:ɑː].[l:l|i:ɪ|sh:ʃ]
abolished	əˈbɑːlɪʃt	[a:ə].ˈ[b:b|o:ɑː].[l:l|i:ɪ|sh:ʃ|ed:t]
abolishes	əˈbɑːlɪʃɪz	[a:ə].ˈ[b:b|o:ɑː].[l:l|i:ɪ].[sh:ʃ|e:ɪ|s:z]
abolishing	əˈbɑːlɪʃɪŋ	[a:ə].ˈ[b:b|o:ɑː].[l:l|i:ɪ].[sh:ʃ|i:ɪ|ng:ŋ]
abolition	ˌæbəˈlɪʃən	ˌ[a:æ].[b:b|o:ə].ˈ[l:l|i:ɪ].[ti:ʃ|o:ə|n:n]
abolitionism	ˌæbəˈlɪʃəˌnɪzəm	ˌ[a:æ].[b:b|o:ə].ˈ[l:l|i:ɪ].[ti:ʃ|o:ə].ˌ[n:n|i:ɪ].[s:z|m:əm]
abolitionist	ˌæbəˈlɪʃənəst	ˌ[a:æ].[b:b|o:ə].ˈ[l:l|i:ɪ].[ti:ʃ|o:ə].[n:n|i:ə|s:s|t:t]
abolitionists	ˌæbəˈlɪʃənəsts	ˌ[a:æ].[b:b|o:ə].ˈ[l:l|i:ɪ].[ti:ʃ|o:ə].[n:n|i:ə|s:s|t:t|s:s]
abominable	əˈbɑːmənəbəl	[a:ə].ˈ[b:b|o:ɑː].[m:m|i:ə].[n:n|a:ə].[b:b|le:əl]
abomination	əˌbɑːməˈneɪʃən	[a:ə].ˌ[b:b|o:ɑː].[m:m|i:ə].ˈ[n:n|a:eɪ].[ti:ʃ|o:ə|n:n]
abominations	əˌbɑːməˈneɪʃənz	[a:ə].ˌ[b:b|o:ɑː].[m:m|i:ə].ˈ[n:n|a:eɪ].[ti:ʃ|o:ə|n:n|s:z]
abood	əˈbuːd	[a:ə].ˈ[b:b|oo:uː|d:d]
aboodi	əˈbuːdiː	[a:ə].ˈ[b:b|oo:uː].[d:d|i:iː]
abor	əˈbɔːr	[a:ə].ˈ[b:b|o:ɔː|r:r]
aboriginal	ˌæbərˈɪdʒənəl	ˌ[a:æ].[b:b|or:ər].ˈ[i:ɪ].[g:dʒ|i:ə].[n:n|a:ə|l:l]
aborigine	ˌæbərˈɪdʒəniː	ˌ[a:æ].[b:b|or:ər].ˈ[i:ɪ].[g:dʒ|i:ə].[n:n|e:iː]
aborigines	ˌæbərˈɪdʒəniːz	ˌ[a:æ].[b:b|or:ər].ˈ[i:ɪ].[g:dʒ|i:ə].[n:n|e:iː|s:z]
aborn	əˈbɔːrn	[a:ə].ˈ[b:b|o:ɔː|r:r|n:n]
abort	əˈbɔːrt	[a:ə].ˈ[b:b|o:ɔː|r:r|t:t]
aborted	əˈbɔːrtɪd	[a:ə].ˈ[b:b|o:ɔː|r:r].[t:t|e:ɪ|d:d]
abortifacient	əˌbɔːrtəˈfeɪʃənt	[a:ə].ˌ[b:b|o:ɔː|r:r].[t:t|i:ə].ˈ[f:f|a:eɪ].[ci:ʃ|e:ə|n:n|t:t]
abortifacients	əˌbɔːrtəˈfeɪʃənts	[a:ə].ˌ[b:b|o:ɔː|r:r].[t:t|i:ə].ˈ[f:f|a:eɪ].[ci:ʃ|e:ə|n:n|t:t|s:s]
aborting	əˈbɔːrtɪŋ	[a:ə].ˈ[b:b|o:ɔː|r:r].[t:t|i:ɪ|ng:ŋ]
abortion	əˈbɔːrʃən	[a:ə].ˈ[b:b|o:ɔː|r:r].[ti:ʃ|o:ə|n:n]
abortionist	əˈbɔːrʃənɪst	[a:ə].ˈ[b:b|o:ɔː|r:r].[ti:ʃ|o:ə].[n:n|i:ɪ|s:s|t:t]
abortionists	əˈbɔːrʃənɪsts	[a:ə].ˈ[b:b|o:ɔː|r:r].[ti:ʃ|o:ə].[n:n|i:ɪ|s:s|t:t|s:s]
abortions	əˈbɔːrʃənz	[a:ə].ˈ[b:b|o:ɔː|r:r].[ti:ʃ|o:ə|n:n|s:z]
abortive	əˈbɔːrtɪv	[a:ə].ˈ[b:b|o:ɔː|r:r].[t:t|i:ɪ|ve:v]
aborts	əˈbɔːrts	[a:ə].ˈ[b:b|o:ɔː|r:r|t:t|s:s]
